LANGUAGE,Беларуская
loginname,лагін
password,пароль
language,мова
save_login_info,запомніць мяне
login,Увайсці
lobby,Гульнявая зала
refresh,Абнавіць
wait,Чакаць гульню
stop,Адпачываць
challenge,Прапанаваць гульню
options,Налады
search,Пошук
mute,прыбраць гук
leave,Адысці
logout,Выйсці
back_to_game,Вярнуцца да гульні
status_short,Стан
title,Тытул
rank,Разрад
name,Імя
country,Краіна
rate,Рэйтынг
waiter,Гулец які чакае
country_short,Краіна
thinking_time,час
handicap,Гандыкап
black,Чорныя
white,Белыя
rule,Рэгл.
status,Статут
monitor,Назір.
opening_short,Дэб.
watch,Watch Game
view_as,View as:
chat,Чат
auto_scroll,аўтапрагортка
resign,Здацца
impasse,Імпасс?
close_game,Зачыніць
check_lobby,Гульнявая зала
watchers,Назіральнікі
kifu,Запіс партыі
copy,Капір.
save,Захав.
replay,Прагледзець
listen,Слухаць
search_panel,Панэль пошуку
kifu_search,Пошук партыі
search,Пошук
close_search,Зачыніць
result,Вынік
opening,Дэбют
moves,Хадоў
game_date,Дата
player_search,Пошук гульца
win,Перам.
loss,Параж.
total,Ўсяго
percentage_short,% перамог
streak_short,Лепшая серыя
signed_up,Дата рэг.
last_updated,Апош. абнаўл.
view_rankings,Рэйтынгі
streak,Найлепшая серыя
percentage,Адсотак перамог
wins,Лік перамог
total_games,Усяго гульняў
accept,Гуляць
reject,Адмовіцца
invitation,Invitation
set_autoreply,Налада аўтапаведамлення
will_be_back_in,Вярнуся праз
hours,гадзін(у)
minutes,хвілін(у)
message,паведамленне
cancel,Адмена
sound,Гук
blind_piece,Гуляць "усляпую"
save_settings,Захаваць налады на серверы
win_small,перам.
loss_small,параж.
current,Бягучая серыя
invite,Invite
ignore,Ignore
rated,рэйтынгавая
nonrated,таварыская
error,Error
