LANGUAGE,Nederlands
loginname,Gebruikersnaam
password,Wachtwoord
language,Taal
server,Server
players,Speler
save_login_info,Inloginfo Opslaan
login,Login
lobby,Grote Hal
refresh,Vernieuwen
wait,Spel Maken
stop,Spel Annuleren
challenge,Uitdagen
options,Opties
search,Zoeken
mute,Dempen
leave,Verlaat PC
logout,Uitloggen
back_to_game,Terug naar het Spel
status_short,Stat
title,Titel
rank,Rang
name,Naam
country,Land
rate,Rating
waiter,Wachtende Speler
country_short,Land
thinking_time,Tijd
handicap,Handicap
black,Zwart
white,Wit
rule,Regels
game_status,Status
monitor,kijkrs
opening_short,Opng
watch,Bekijk Spel
view_as,Zie als:
chat,Chat
auto_scroll,Auto-scroll
resign,Opgeven
impasse,Impasse?
flip,Bord Draaien
close_game,Sluiten
rematch,Revanche
clear_arrows,Pijlen weghalen
arrow,Pijl
clear,Verwijderen
greet,Groet
check_lobby,Check Hal
watchers,Toeschouwers
kifu,Kifu
copy,Kopieer naar Plakbord als KIF
save,Opslaan als KIF
replay,Replay
listen,Meekijken
search_panel,Zoekpaneel
kifu_search,Kifu zoeken
share,Kifu delen
close,Sluiten
result,Resultaat
opening,Opening
moves,Zetten
game_date,Datum
player_search,Speler zoeken
win,Winsten
loss,Nederlagen
draw,Gelijk spel
total,Totaal
percentage_short,%-Win
streak_short,Streak
signed_up,lid sinds
last_updated,Laatst online
view_rankings,Rankings bekijken
streak,Beste Streak
percentage,Winst%
wins,Winsten
total_games,Totaal aantal Spellen
accept,Accepteren
reject,Annuleren
invitation,Uitnodiging
set_autoreply,Auto-antwoord bericht instellen
will_be_back_in,Ik ben terug na
hours,uren
minutes,minuten
message,bericht
cancel,Annuleren
sound,Geluid
blind_piece,Blinde Stukken
save_settings,Wijzigingen opslaan op de Server
win_small,win
loss_small,verl.
current,Huidige
invite,Uitnodigen
detail,Details
favorite,Favoriet
ignore,Blokkeren
allow,Toestaan
set_rate,Rating instellen
rated,Beoordeeld
nonrated,Niet Beoordeeld
tournament,Officieel Tournament
study_room,Studie-ruimte
comment,Commentaar
declare,Verklaar Winst
entered_impasse,Koning is binnen
pieces_impasse,Stukken
points_impasse,Punten
error,Fout
tendency,Voorkeuren
rate_history,Rating geschiedenis
data_table,Data Tabel
status,Status
