LANGUAGE,Italiano
loginname,nome utente
password,password
language,lingua
server,server
players,giocatori
save_login_info,ricorda nome e password
login,login
lobby,Lobby principale
refresh,Ricarica
wait,Aspetta sfidante
stop,Cessa l'attesa
challenge,Sfida
options,Opzioni
search,Cerca
mute,Muto
leave,Pausa
logout,Disconnetti
back_to_game,Torna alla partita
status_short,Stat
title,Titolo
rank,Grado
name,Nome
country,Paese
rate,Classifica
waiter,Giocatori in attesa
country_short,Paese
thinking_time,Tempi
handicap,Handicap
black,Nero
white,Bianco
rule,Regole
game_status,Status
monitor,Pubb.
opening_short,Apert.
watch,Assisti
view_as,Assisti come:
chat,Chat
auto_scroll,Autoscroll
resign,Arresa
impasse,Impasse?
flip,inverti tavolo
close_game,Chiudi
rematch,rivincita
clear_arrows,cancella frecce
arrow,frecce
clear,cancella
greet,saluta
check_lobby,Alla Lobby
watchers,Pubblico
kifu,Kifu
copy,Copia
save,Salva
replay,Replay
listen,Guarda
search_panel,Opzioni di ricerca
kifu_search,Cerca kifu
share,Share
close,Chiudi
result,Esito
opening,Apertura
moves,Mosse
game_date,Data
player_search,Cerca giocatore
win,Vinte
loss,Perse
draw,pareggiate
total,Totale
percentage_short,% vittorie
streak_short,Serie
signed_up,Iscritto il
last_updated,Ultimo agg.
view_rankings,Classifiche
streak,Serie migliore
percentage,Percentuale vittorie
wins,Vittorie
total_games,Tot. partite
accept,Accetta
reject,Rifiuta
invitation,invito
set_autoreply,Risposta automatica
will_be_back_in,Torno tra
hours,ore
minutes,minuti
message,messaggio
cancel,Cancella
sound,Suoni
blind_piece,Alla cieca
save_settings,Salva impostazioni sul server
win_small,vinte
loss_small,perse
current,Corrente
invite,Invita
detail,dettagli
favorite,preferiti
ignore,Ignora
allow,autorizza
set_rate,scegli classifica
rated,Valutata
nonrated,Non valutata
tournament,torneo ufficiale
study_room,sala studio
comment,commento
declare,dichiara vittoria
entered_impasse,entrato
pieces_impasse,pezzi
points_impasse,punti
error,Errore
tendency,tendenze
rate_history,storia classifica
data_table,tabella statistiche
status,stato
