LANGUAGE,日本語
loginname,ハンドルネーム
password,パスワード
language,言語
server,サーバ
description,説明
players,入場者
alive,稼働
save_login_info,次回ログイン時まで保存
login,ログイン
lobby,メインロビー
refresh,情報更新
wait,対局待
stop,待中止
challenge,挑戦
options,オプション
search,検索
mute,ミュート
leave,離席
logout,ログアウト
back_to_game,対局室へ戻る
status_short,状態
stat_m,観戦
stat_w,対局待
stat_p,感想戦
stat_g,対局
stat_g1,開始
stat_g2,序盤
stat_g3,序中盤
stat_g4,中終盤
stat_g5,終盤
stat_d,回線切れ
title,タイトル
rank,段級位
name,ハンドルネーム
country,国名
rate,レート
waiter,対局待プレーヤ
country_short,国名
thinking_time,持時間
handicap,駒落ち
black,先手
white,後手
rule,ルール
game_status,進行
monitor,観戦
opening_short,戦型
watch,観戦
view_as,手番選択
chat,チャット
auto_scroll,自動スクロール
resign,投了
impasse,持将棋計算
flip,盤面反転
close_game,退室
rematch,再戦
voice,音声通信
voice_direct,感想戦(直通)
voice_shared,感想戦(公開可)
voice_broadcast,放送参加
voice_listen,視聴
voice_off,通信切断
status_tip_self,自分
status_tip_direct,直通ボイスチャット感想戦中
status_tip_shared,公開可ボイスチャット感想戦中
status_tip_broadcast,放送中
status_tip_listen,あなたの公開ボイスチャットを視聴中
status_tip_host,感想戦ホスト
clear_arrows,矢印消去
arrow,矢印
clear,消去
greet,挨拶
check_lobby,ロビーを確認
check_lobby_tip,対局室に居たままで一時的にロビーの状況を確認します。退室にはなりません。ロビーには「対局室へ戻る」のボタンが出現します。
watchers,観戦者
allow_chat,観戦者のチャットを受信
kifu,棋譜
copy,クリップボードにKIF形式でコピー
save,KIFファイルに保存
replay,ローカル再生・検討
listen,現在の局面を受信
replay_tip,自分のPC上でのみ局面を動かします。感想戦ホストである場合を除き、他者との情報共有は行いません。
listen_tip,観戦中は最新局面、感想戦中はホストの検討局面を表示します。描いた矢印も他者と共有されます。
search_panel,情報検索
kifu_search,棋譜検索
share,棋譜共有
close,閉じる
result,勝敗
opening,戦型
moves,手数
game_date,対局日
player_search,プレイヤー検索
win,勝数
loss,負数
draw,引分
total,合計
percentage_short,勝率
streak_short,連勝数
signed_up,登録日
last_updated,更新日
view_rankings,ランキング閲覧
