LANGUAGE,Polski
loginname,Nazwa Użytkownika
password,Hasło
language,Język
server,Serwer
description,Opis
players,Graczy
alive,Aktywny
save_login_info,Zapamiętaj dane
login,Zaloguj
lobby,Dojo
refresh,Odśwież
wait,Załóż Grę
stop,Anuluj Grę
challenge,Zaproponuj Grę
options,Ustawienia
search,Wyszukaj
mute,Wycisz
leave,z/w
logout,Wyloguj
back_to_game,Wróć do Gry
status_short,Status
title,Tytuł
rank,Stopień
name,Nazwa
country,Kraj
rate,Ranking
waiter,Oczekujący
country_short,Kraj
thinking_time,Czas
handicap,Handikap
black,Czarne
white,Białe
rule,Zasady
game_status,Status
monitor,Widzów
opening_short,Otwarcie
watch,Oglądaj Grę
view_as,Oglądaj jako:
chat,Czat
auto_scroll,Przewijanie 
resign,Poddaj Grę
impasse,Impas?
flip,Obróć Planszę
close_game,Wyjdź
rematch,Rewanż
voice,Czat głosowy
voice_direct,Rozmowa głosowa (Bezpośrednia)
voice_shared,Rozmowa głosowa (Publiczna)
voice_broadcast,Dołącz do nadawania
voice_listen,Słuchaj
voice_off,Wyłącz
status_tip_self,To ty!
status_tip_direct,Używa BEZPOŚREDNIEGO połączenia głosowego.
status_tip_shared,Używa PUBLICZNEGO połączenia głosowego.
status_tip_broadcast,Nadaje
status_tip_listen,Słucha twojego publicznego czatu głosowego
status_tip_host,Host trybu nauki
clear_arrows,Wyczyść Strzałki
arrow,Strzałka
clear,Wyczyść
greet,Powitania
check_lobby,Zobacz Dojo
stat_m,Widz
stat_w,Czeka
stat_p,Po Grze
stat_g,Gra
stat_g1,rozpoczęcie
stat_g2,otwarcie
stat_g3,gra środkowa
stat_g4,gra środkowa/końcowa
stat_g5,gra końcowa
stat_d,Rozłączony
watchers,Widzowie
allow_chat,Otrzymuj rozmowę widzów
kifu,Kifu
copy,Zapisz do Schowka jako KIF
save,Zapisz do KIF
replay,Odtwarzanie/Analiza
listen,Oglądaj
replay_tip,Możesz odtwarzać i analizować pozycję, ale tylko na swoim komputerze. Plansza nie zostanie udostępniona, dopóki nie otrzymasz statusu hosta w trybie nauki.
listen_tip,Pokazuje najnowszą pozycję z gry lub analizy gracza ze statusem hosta po zakończeniu gry. Twoje strzałki zostaną udostępnione innym. 
search_panel,Panel Wyszukiwarki
kifu_search,Wyszukaj Kifu
share,Udostępnij Kifu
close,Zamknij
result,Wynik
opening,Otwarcie
moves,Posunięć
game_date,Data
player_search,Wyszukaj Gracza
win,Zwycięstw
loss,Porażek
draw,Remisów
total,Suma
percentage_short,%-zwyc.
streak_short,Seria
signed_up,Dołączył(a)
last_updated,Zaktualizował(a)
view_rankings,Pokaż Rankingi
streak,Najlepsza Seria
percentage,% Zwycięstw
wins,Zwycięstw    
total_games,Liczba Gier
accept,Zaakceptuj
reject,Odrzuć
invitation,Zaproszenie
set_autoreply,Ustaw automatyczną odpowiedź
will_be_back_in,Wrócę za
hours,godzin
minutes,minut
message,wiadomość
cancel,Anuluj
pieces,Figury
blind_piece,Gra "na ślepo"
op_grab,Podnoś figurę po zaznaczeniu
op_highlight,Podświetlaj legalne posunięcia
sound,Dźwięki
sound_piece,dźwięki figur
sound_end,dźwięk końca gry
sound_chat,dźwięki czatu przychodzącego
sound_byoyomi,dźwięk byoyomi
byoyomi_chime,Chime
byoyomi_jp,Japoński
game_room,Pokój Gry
pm,Wiadomość Prywatna
communication,Komunikacja
notation,Styl Notacji 
notation_uni,Uniwersalny
notation_jp,Japoński
notation_west,Zachodni
pm_auto,Automatyczne otwieranie okienka
arrow_accept,Akceptuj strzałki innych graczy
arrow_color,Twój kolor
remove,Usuń
save_settings,Zapisz ustawienia
win_small,Zw.
loss_small,Por.
current,Aktualna
invite,Zaproś
detail,Szczegóły
favorite,Przyjaciele
ignore,Zablokowani
allow,Nadaj prawa w trybie nauki
give_host,Przekaż status Hosta
give_subhost,Nadaj status Sub-Hosta
set_rate,Ustaw Ranking
rated,Rankingowa
nonrated,Towarzyska 
min,min
sec,sek
hc_even,Równa Gra
hc_fixed,Pierwszy Ruch
hc_lance,Bez Lancy
hc_bishop,Bez Gońca
hc_rook,Bez Wieży
hc_rooklance,Bez Wieży i Lancy
hc_rooksilver,Bez Wieży i Srebrnego
hc_2p,Bez 2 figur
hc_4p,Bez 4 figur
hc_6p,Bez 6 figur
hc_8p,Bez 8 figur
hc_tombo,Ważka
hc_10p,Bez 10 figur
hc_3pawns,Trzy Piony
hc_naked,Nagi Król
hc_openair,Shogi Bez Barier
hc_mini,Mini Shogi
hc_56,GoroGoro Shogi
hc_33,Shogi 3x3
tournament,Oficjalny Turniej
study_room,Pokój Nauki
load_kifu,Wczytaj
comment,Komentarz
declare,Zadeklaruj Zwycięstwo
entered_impasse,Impas
pieces_impasse,Figury
points_impasse,Punkty
error,Błąd
tendency,Tendencje
rate_history,Historia rankingu
data_table,Tabelka Danych
status,Status
msg_newlogin,Kliknij dwa razy na nazwę gracza, aby wyświetlić informacje o nim. (Także na [***] w okienku czatu)\n- Obejrzyj grę poprzez podwójne kliknięcie na niej. \n- Zagraj 5 gier rankingowych, aby uzyskać stały ranking!
msg_host,Jesteś hostem Trybu Nauki. Twoja plansza jest udostępniana innym.
msg_subhost,Jesteś sub-hostem Trybu Nauki. Możesz przesuwać figury hosta.
msg_subhost_given,Otrzymałeś status sub-hosta. Możesz przesuwać figury hosta.
msg_study_notify,Analizowana pozycja zmieniła się. Wróć do Trybu Oglądania, żeby zaktualizować.
msg_rated,To jest gra rankingowa. \nGracze NIE MOGĄ zobaczyć czatu widzów, dopóki gra się nie zakończy. \nWidz może wysłać Wiadomość Prywatną do graczy, ale inni zostaną o tym powiadomieni.
msg_nonrated,To jest gra towarzyska. \nGracze MOGĄ zobaczyć czat widzów nawet podczas gry.
msg_disconnect,Przeciwnik rozłączony.
msg_illegal,Nielegalny ruch.
msg_perpetual,Nielegalny Wieczny Szach.
msg_repetition,Sennichite. (Powtórzenie)
